from,to,interaction_type
MAPK1,C01328,protein-small_molecule
MAPK1,C01328,protein-small_molecule
MAPK1,C00002,protein-small_molecule
MAPK1,C00410,protein-small_molecule
MAPK1,C00008,protein-small_molecule
MAPK1,C00044,protein-small_molecule
MAPK1,C01661,protein-small_molecule
MAPK1,C00533,protein-small_molecule
MAPK1,C00533,protein-small_molecule
MAPK1,C12147,protein-small_molecule
MAPK1,DUSP6,protein-protein
CSNK1E,C00002,protein-small_molecule
CSNK1E,C00008,protein-small_molecule
CSNK1E,C00044,protein-small_molecule
CSNK1E,AXIN1,protein-protein
CDK5,C01328,protein-small_molecule
CDK5,C01328,protein-small_molecule
CDK5,C00002,protein-small_molecule
CDK5,C00008,protein-small_molecule
PRKAA2,C01328,protein-small_molecule
PRKAA2,C01328,protein-small_molecule
PRKAA2,C07151,protein-small_molecule
PRKAA2,C07151,protein-small_molecule
PRKAA2,C00002,protein-small_molecule
PRKAA2,C00008,protein-small_molecule
PRKAA2,C00044,protein-small_molecule
PRKAA2,C00035,protein-small_molecule
PRKAA2,C04677,protein-small_molecule
PRKAA2,PRKAB1,protein-protein
IKBKB,C00805,protein-small_molecule
IKBKB,C00805,protein-small_molecule
IKBKB,C00002,protein-small_molecule
IKBKB,C00008,protein-small_molecule
RAF1,C06911,protein-small_molecule
RAF1,C00160,protein-small_molecule
RAF1,C07056,protein-small_molecule
RAF1,C07056,protein-small_molecule
RAF1,C00002,protein-small_molecule
RAF1,C00008,protein-small_molecule
RAF1,C00044,protein-small_molecule
RAF1,C00035,protein-small_molecule
RAF1,C07394,protein-small_molecule
RAF1,C07074,protein-small_molecule
RPS6KA3,C11238,protein-small_molecule
RPS6KA3,C11238,protein-small_molecule
RPS6KA3,C00002,protein-small_molecule
RPS6KA3,C00008,protein-small_molecule
DYRK1A,C00002,protein-small_molecule
DYRK1A,C00008,protein-small_molecule
ANKLE2_S268,ANKLE2,phosphosite-protein
ANKLE2_S268,ANKLE2,phosphosite-protein
ANKLE2_S268,ANKLE2,phosphosite-protein
PRKCQ,C01005,protein-small_molecule
PRKCQ,C00076,protein-small_molecule
PRKCQ,C00076,protein-small_molecule
PRKCQ,C00002,protein-small_molecule
PRKCQ,C00008,protein-small_molecule
PRKCQ,C00044,protein-small_molecule
PRKCQ,C00035,protein-small_molecule
PRKCQ,C01005,protein-small_molecule
PRKCQ,C12147,protein-small_molecule
GRB10_S104,GRB10,phosphosite-protein
GRB10_S104,GRB10,phosphosite-protein
GRB10_S104,GRB10,phosphosite-protein
RAP1GAP_S484,RAP1GAP,phosphosite-protein
PREX1_S436,PREX1,phosphosite-protein
PREX1_S436,PREX1,phosphosite-protein
PREX1_S436,PREX1,phosphosite-protein
CNKSR2_S467,CNKSR2,phosphosite-protein
CNKSR2_S467,CNKSR2,phosphosite-protein
MAP3K5,C00027,protein-small_molecule
MAP3K5,C00027,protein-small_molecule
MAP3K5,C00002,protein-small_molecule
MAP3K5,C00008,protein-small_molecule
MAP3K5,DAXX,protein-protein
FYN,C00469,protein-small_molecule
FYN,C00469,protein-small_molecule
FYN,C00282,protein-small_molecule
FYN,C00282,protein-small_molecule
FYN,C00002,protein-small_molecule
FYN,C00008,protein-small_molecule
FYN,C00044,protein-small_molecule
FYN,C00035,protein-small_molecule
FYN,MAP3K11,protein-protein
ABCF2_S349,ABCF2,phosphosite-protein
SUB1_S19,SUB1,phosphosite-protein
SUB1_S19,SUB1,phosphosite-protein
WNK2,C00002,protein-small_molecule
MAST3_S146,MAST3,phosphosite-protein
MAPRE2_S223,MAPRE2,phosphosite-protein
MAPRE2_S223,MAPRE2,phosphosite-protein
PRKACA,C01005,protein-small_molecule
PRKACA,C00076,protein-small_molecule
PRKACA,C00076,protein-small_molecule
PRKACA,C00305,protein-small_molecule
PRKACA,C00305,protein-small_molecule
PRKACA,C01328,protein-small_molecule
PRKACA,C01328,protein-small_molecule
PRKACA,C00002,protein-small_molecule
PRKACA,C00008,protein-small_molecule
PRKACA,C00575,protein-small_molecule
PRKACA,C00044,protein-small_molecule
PRKACA,C01005,protein-small_molecule
MID1_S96,MID1,phosphosite-protein
MID1_S96,MID1,phosphosite-protein
PRKRA_S18,PRKRA,phosphosite-protein
PRKRA_S18,PRKRA,phosphosite-protein
S100A9_T113,S100A9,phosphosite-protein
NEDD4L_S487,NEDD4L,phosphosite-protein
NEDD4L_S487,NEDD4L,phosphosite-protein
SNTA1_S201,SNTA1,phosphosite-protein
MARCKSL1_T85,MARCKSL1,phosphosite-protein
MAP1S_S475,MAP1S,phosphosite-protein
CARHSP1_S30,CARHSP1,phosphosite-protein
CARHSP1_S30,CARHSP1,phosphosite-protein
CARHSP1_S30,CARHSP1,phosphosite-protein
FLII_S436,FLII,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
VIM_S10,VIM,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
SMC3_S1067,SMC3,phosphosite-protein
ADD3_S681,ADD3,phosphosite-protein
MATR3_T150,MATR3,phosphosite-protein
SPTBN2_S2254,SPTBN2,phosphosite-protein
MAPKAP1_S510,MAPKAP1,phosphosite-protein
MAPKAP1_S510,MAPKAP1,phosphosite-protein
MAPKAP1_S510,MAPKAP1,phosphosite-protein
MAP1S_S643,MAP1S,phosphosite-protein
CEP170B_S655,CEP170B,phosphosite-protein
APBA1_S568,APBA1,phosphosite-protein
PPP1R3D_S74,PPP1R3D,phosphosite-protein
PPP1R3D_S74,PPP1R3D,phosphosite-protein
PPP1R3D_S74,PPP1R3D,phosphosite-protein
RTKN_S106,RTKN,phosphosite-protein
RTKN_S106,RTKN,phosphosite-protein
ARHGEF12_T736,ARHGEF12,phosphosite-protein
USF1_S186,USF1,phosphosite-protein
PIP4K2B_S326,PIP4K2B,phosphosite-protein
CNKSR2_S338,CNKSR2,phosphosite-protein
CCM2_S384,CCM2,phosphosite-protein
CACNA1E_S855,CACNA1E,phosphosite-protein
CACNA1E_S855,CACNA1E,phosphosite-protein
PRKRA_T20,PRKRA,phosphosite-protein
PRKRA_T20,PRKRA,phosphosite-protein
PRKCG,C00076,protein-small_molecule
PRKCG,C00076,protein-small_molecule
PRKCG,C11238,protein-small_molecule
PRKCG,C11238,protein-small_molecule
PRKCG,C00002,protein-small_molecule
PRKCG,C00008,protein-small_molecule
PRKCG,C00044,protein-small_molecule
PRKCG,C00035,protein-small_molecule
PRKCG,C05151,protein-small_molecule
PRKCG,C01245,protein-small_molecule
PRKCG,C09155,protein-small_molecule
PRKCG,C00219,protein-small_molecule
NDRG2_S328,NDRG2,phosphosite-protein
CDC42EP4_S11,CDC42EP4,phosphosite-protein
CDC42EP4_S11,CDC42EP4,phosphosite-protein
NMT1_S47,NMT1,phosphosite-protein
TRIM3_S437,TRIM3,phosphosite-protein
PACS1_S534,PACS1,phosphosite-protein
AKAP11_S448,AKAP11,phosphosite-protein
AKAP11_S448,AKAP11,phosphosite-protein
CTNND2_T472,CTNND2,phosphosite-protein
CTNND2_T472,CTNND2,phosphosite-protein
CTNND2_S514,CTNND2,phosphosite-protein
CTNND2_S514,CTNND2,phosphosite-protein
CTNND2_S514,CTNND2,phosphosite-protein
ERRFI1_S251,ERRFI1,phosphosite-protein
ERRFI1_S251,ERRFI1,phosphosite-protein
PRICKLE2_S695,PRICKLE2,phosphosite-protein
OSBPL3_S265,OSBPL3,phosphosite-protein
CCNT2_S548,CCNT2,phosphosite-protein
CNKSR2_S756,CNKSR2,phosphosite-protein
PACS1_S430,PACS1,phosphosite-protein
PACS1_S430,PACS1,phosphosite-protein
FXYD1_S83,FXYD1,phosphosite-protein
FXYD1_S83,FXYD1,phosphosite-protein
FXYD1_S83,FXYD1,phosphosite-protein
FXYD1_S83,FXYD1,phosphosite-protein
PRKDC,C00002,protein-small_molecule
PRKDC,C00008,protein-small_molecule
PRKDC,XPC,protein-protein
RASGRF2_S746,RASGRF2,phosphosite-protein
RASGRF2_S746,RASGRF2,phosphosite-protein
RASGRF2_S746,RASGRF2,phosphosite-protein
RASGRF2_S746,RASGRF2,phosphosite-protein
NDRG2_S332,NDRG2,phosphosite-protein
NDRG2_S332,NDRG2,phosphosite-protein
NDRG2_S332,NDRG2,phosphosite-protein
NDRG2_S332,NDRG2,phosphosite-protein
PDHA1_S295,PDHA1,phosphosite-protein
PDHA1_S295,PDHA1,phosphosite-protein
PDHA1_S295,PDHA1,phosphosite-protein
PPP1R3D_S78,PPP1R3D,phosphosite-protein
PPP1R3D_S78,PPP1R3D,phosphosite-protein
PPP1R3D_S78,PPP1R3D,phosphosite-protein
RBM15_S128,RBM15,phosphosite-protein
MAP4K2_S394,MAP4K2,phosphosite-protein
MAP4K2_S394,MAP4K2,phosphosite-protein
EPB41L2_S57,EPB41L2,phosphosite-protein
TPPP_S18,TPPP,phosphosite-protein
TPPP_S18,TPPP,phosphosite-protein
TPPP_S18,TPPP,phosphosite-protein
PRKAB1_S24,PRKAB1,phosphosite-protein
PRKAB1_S24,PRKAB1,phosphosite-protein
RTN4_S860,RTN4,phosphosite-protein
LARP1_S774,LARP1,phosphosite-protein
LARP1_S774,LARP1,phosphosite-protein
CRYAB_S59,CRYAB,phosphosite-protein
CRYAB_S59,CRYAB,phosphosite-protein
DAAM2_S656,DAAM2,phosphosite-protein
MAP2K6,C00002,protein-small_molecule
MAP2K6,C00008,protein-small_molecule
MAP2K6,C00044,protein-small_molecule
SNTB1_S87,SNTB1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
PDHA1_S293,PDHA1,phosphosite-protein
VCPIP1_S768,VCPIP1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
AXIN1_S493,AXIN1,phosphosite-protein
RBM14_S618,RBM14,phosphosite-protein
SPP1,C01673,protein-small_molecule
TCOF1_S583,TCOF1,phosphosite-protein
TCOF1_S583,TCOF1,phosphosite-protein
PPM1J_S93,PPM1J,phosphosite-protein
TACC2_S2390,TACC2,phosphosite-protein
TACC2_S2390,TACC2,phosphosite-protein
MAP2_S1534,MAP2,phosphosite-protein
MAP2_S1534,MAP2,phosphosite-protein
MAP2_S1534,MAP2,phosphosite-protein
MAP2_S1534,MAP2,phosphosite-protein
MATR3_S9,MATR3,phosphosite-protein
MATR3_S9,MATR3,phosphosite-protein
NDRG2_S355,NDRG2,phosphosite-protein
CCNT2_S549,CCNT2,phosphosite-protein
CCNT2_S549,CCNT2,phosphosite-protein
CCNT2_S549,CCNT2,phosphosite-protein
HSPB1,C00051,protein-small_molecule
HSPB1,C01328,protein-small_molecule
HSPB1,C01328,protein-small_molecule
HSPB1,C07649,protein-small_molecule
HSPB1,C07649,protein-small_molecule
HSPB1,C00003,protein-small_molecule
HSPB1,C01661,protein-small_molecule
HSPB1,C00010,protein-small_molecule
HSPB1,C00051,protein-small_molecule
HSPB1,C00024,protein-small_molecule
HSPB1,C07620,protein-small_molecule
NGEF_S606,NGEF,phosphosite-protein
CKB_S163,CKB,phosphosite-protein
SON_S1697,SON,phosphosite-protein
CTNND2_S415,CTNND2,phosphosite-protein
CTNND2_S415,CTNND2,phosphosite-protein
CTNND2_S415,CTNND2,phosphosite-protein
PRKAA1,C01328,protein-small_molecule
PRKAA1,C01328,protein-small_molecule
PRKAA1,C00002,protein-small_molecule
PRKAA1,C00008,protein-small_molecule
PRKAA1,C00044,protein-small_molecule
PRKAA1,C00035,protein-small_molecule
PRKAA1,C04677,protein-small_molecule
PRKAA1,PRKAB1,protein-protein
RBBP6_S1179,RBBP6,phosphosite-protein
RAPGEF2_S960,RAPGEF2,phosphosite-protein
RAPGEF2_S960,RAPGEF2,phosphosite-protein
RAPGEF2_S960,RAPGEF2,phosphosite-protein
RAPGEF2_S960,RAPGEF2,phosphosite-protein
RAPGEF2_S960,RAPGEF2,phosphosite-protein
NCOA5_S34,NCOA5,phosphosite-protein
NUCKS1_S181,NUCKS1,phosphosite-protein
NUCKS1_S181,NUCKS1,phosphosite-protein
NDRG2_T330,NDRG2,phosphosite-protein
PRICKLE2_T534,PRICKLE2,phosphosite-protein
PRICKLE2_T534,PRICKLE2,phosphosite-protein
ARHGEF12_S341,ARHGEF12,phosphosite-protein
SYNM_S1106,SYNM,phosphosite-protein
LRRC7_T867,LRRC7,phosphosite-protein
LRRC7_T867,LRRC7,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
VIM_S51,VIM,phosphosite-protein
APBA2_S208,APBA2,phosphosite-protein
CNKSR2_S335,CNKSR2,phosphosite-protein
CLIP2_S207,CLIP2,phosphosite-protein
CLIP2_S207,CLIP2,phosphosite-protein
SOX10_S45,SOX10,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
FOXO1_S256,FOXO1,phosphosite-protein
CTNND2_S267,CTNND2,phosphosite-protein
ACACA_S80,ACACA,phosphosite-protein
ACACA_S80,ACACA,phosphosite-protein
KCNA1_S446,KCNA1,phosphosite-protein
PAK4,C00044,protein-small_molecule
PAK4,C00035,protein-small_molecule
PHKA2_S729,PHKA2,phosphosite-protein
PHKA2_S729,PHKA2,phosphosite-protein
LARP1_S548,LARP1,phosphosite-protein
SLC4A1_S350,SLC4A1,phosphosite-protein
CTNND2_S32,CTNND2,phosphosite-protein
CTNND2_S32,CTNND2,phosphosite-protein
ISCU_S14,ISCU,phosphosite-protein
SPTBN1_S2319,SPTBN1,phosphosite-protein
HDLBP_S31,HDLBP,phosphosite-protein
DSN1_S58,DSN1,phosphosite-protein
HDLBP_S317,HDLBP,phosphosite-protein
SRSF11_S207,SRSF11,phosphosite-protein
SLC4A1,C00011,protein-small_molecule
SLC4A1,C00011,protein-small_molecule
SLC4A1,C00698,protein-small_molecule
SLC4A1,C00698,protein-small_molecule
SLC4A1,C00282,protein-small_molecule
SLC4A1,C00282,protein-small_molecule
SLC4A1,C01328,protein-small_molecule
SLC4A1,C01328,protein-small_molecule
MINK1_S763,MINK1,phosphosite-protein
EPB41L2_S58,EPB41L2,phosphosite-protein
EPB41L2_S58,EPB41L2,phosphosite-protein
SLC2A4,C00738,protein-small_molecule
SLC2A4,C00469,protein-small_molecule
SLC2A4,C00469,protein-small_molecule
SLC2A4,C00282,protein-small_molecule
SLC2A4,C00282,protein-small_molecule
SLC2A4,C07669,protein-small_molecule
SLC2A4,C07669,protein-small_molecule
SLC2A4,C07151,protein-small_molecule
SLC2A4,C07151,protein-small_molecule
SLC2A4,C07675,protein-small_molecule
SLC2A4,C07675,protein-small_molecule
SLC2A4,C02236,protein-small_molecule
SLC2A4,C00002,protein-small_molecule
SLC2A4,C00008,protein-small_molecule
SLC2A4,C00044,protein-small_molecule
SLC2A4,C07313,protein-small_molecule
SLC2A4,C14767,protein-small_molecule
SLC2A4,C14762,protein-small_molecule
AQP4_S276,AQP4,phosphosite-protein
AQP4_S276,AQP4,phosphosite-protein
AQP4_S276,AQP4,phosphosite-protein
ATXN2_S684,ATXN2,phosphosite-protein
PCM1_S431,PCM1,phosphosite-protein
PCM1_S431,PCM1,phosphosite-protein
UBE2O_S836,UBE2O,phosphosite-protein
AQP4,C00116,protein-small_molecule
AQP4,C00116,protein-small_molecule
AQP4,C01328,protein-small_molecule
AQP4,C01328,protein-small_molecule
SLC1A3_S512,SLC1A3,phosphosite-protein
USP20_S413,USP20,phosphosite-protein
UBR4_T2715,UBR4,phosphosite-protein
SPP1_S63,SPP1,phosphosite-protein
SPP1_S63,SPP1,phosphosite-protein
SPP1_S63,SPP1,phosphosite-protein
RPRD1B_S166,RPRD1B,phosphosite-protein
SRSF11,C00002,protein-small_molecule
ACLY_S481,ACLY,phosphosite-protein
HMGCS1_S495,HMGCS1,phosphosite-protein
CTNND2_S461,CTNND2,phosphosite-protein
CTNND2_S461,CTNND2,phosphosite-protein
CTNND2_S461,CTNND2,phosphosite-protein
AGPS_S65,AGPS,phosphosite-protein
ADCY6_S54,ADCY6,phosphosite-protein
ADCY6_S54,ADCY6,phosphosite-protein
RALBP1_S92,RALBP1,phosphosite-protein
RALBP1_S92,RALBP1,phosphosite-protein
PRKCD,C00076,protein-small_molecule
PRKCD,C00076,protein-small_molecule
PRKCD,C01328,protein-small_molecule
PRKCD,C01328,protein-small_molecule
PRKCD,C11238,protein-small_molecule
PRKCD,C11238,protein-small_molecule
PRKCD,C00002,protein-small_molecule
PRKCD,C00008,protein-small_molecule
PRKCD,C00044,protein-small_molecule
PRKCD,C00035,protein-small_molecule
PRKCD,C01245,protein-small_molecule
PRKCD,BAD,protein-protein
RIN1_S333,RIN1,phosphosite-protein
RIN1_S333,RIN1,phosphosite-protein
CAD_S1406,CAD,phosphosite-protein
PYGO2_T302,PYGO2,phosphosite-protein
PYGO2_T302,PYGO2,phosphosite-protein
RALBP1_S93,RALBP1,phosphosite-protein
TOPORS_S585,TOPORS,phosphosite-protein
EFHD2_S74,EFHD2,phosphosite-protein
EFHD2_S74,EFHD2,phosphosite-protein
PDLIM7_T251,PDLIM7,phosphosite-protein
PDLIM7_T251,PDLIM7,phosphosite-protein
PDLIM7_T251,PDLIM7,phosphosite-protein
PDLIM7_T251,PDLIM7,phosphosite-protein
ATXN2_T771,ATXN2,phosphosite-protein
PRKAB2,C00305,protein-small_molecule
PRKAB2,C00305,protein-small_molecule
PRKAB2,C00008,protein-small_molecule
PRKAB2,PRKAB1,protein-protein
USP32_S1372,USP32,phosphosite-protein
WRNIP1_S92,WRNIP1,phosphosite-protein
PDE8B_S517,PDE8B,phosphosite-protein
SPP1_S62,SPP1,phosphosite-protein
SPP1_S62,SPP1,phosphosite-protein
SPP1_S62,SPP1,phosphosite-protein
MTMR2_S58,MTMR2,phosphosite-protein
MTMR2_S58,MTMR2,phosphosite-protein
CAMSAP1_S1080,CAMSAP1,phosphosite-protein
PDE4A_S209,PDE4A,phosphosite-protein
PDE4A_S209,PDE4A,phosphosite-protein
PDE4A_S209,PDE4A,phosphosite-protein
CDC42EP1_S101,CDC42EP1,phosphosite-protein
BRF1_S553,BRF1,phosphosite-protein
CIR1_S202,CIR1,phosphosite-protein
RASGRF2_S727,RASGRF2,phosphosite-protein
RASGRF2_S727,RASGRF2,phosphosite-protein
RBM15_T568,RBM15,phosphosite-protein
CNKSR2_T339,CNKSR2,phosphosite-protein
SLC8A1_S284,SLC8A1,phosphosite-protein
AMOT,YAP1,protein-protein
GNG3_S9,GNG3,phosphosite-protein
HUWE1_T2889,HUWE1,phosphosite-protein
PKN2_S583,PKN2,phosphosite-protein
PKN2_S583,PKN2,phosphosite-protein
PKN2_S583,PKN2,phosphosite-protein
PKN2_S583,PKN2,phosphosite-protein
LRRC7_S949,LRRC7,phosphosite-protein
LRRC7_S949,LRRC7,phosphosite-protein
LRRC7_S949,LRRC7,phosphosite-protein
PRICKLE2_S806,PRICKLE2,phosphosite-protein
LSM11_S15,LSM11,phosphosite-protein
CKB_S199,CKB,phosphosite-protein
CLIP2_S211,CLIP2,phosphosite-protein
CLIP2_S211,CLIP2,phosphosite-protein
CLIP2_S211,CLIP2,phosphosite-protein
CDC42EP1_S192,CDC42EP1,phosphosite-protein
CDC42EP1_S192,CDC42EP1,phosphosite-protein
SLC1A3,C16433,protein-small_molecule
SLC1A3,C00302,protein-small_molecule
SLC1A3,C00282,protein-small_molecule
SLC1A3,C00282,protein-small_molecule
SLC1A3,C00238,protein-small_molecule
SLC1A3,C00238,protein-small_molecule
SLC1A3,C01330,protein-small_molecule
SLC1A3,C01330,protein-small_molecule
NDRG1_S336,NDRG1,phosphosite-protein
MAP2K2,C07625,protein-small_molecule
MAP2K2,C07625,protein-small_molecule
MAP2K2,C00002,protein-small_molecule
MAP2K2,C00008,protein-small_molecule
MAP2K2,C00044,protein-small_molecule
SSTR2_S343,SSTR2,phosphosite-protein
ZC3HC1_S395,ZC3HC1,phosphosite-protein
ZC3HC1_S395,ZC3HC1,phosphosite-protein
SON_S283,SON,phosphosite-protein
PRICKLE2_S753,PRICKLE2,phosphosite-protein
HSPA1B,C01330,protein-small_molecule
HSPA1B,C01330,protein-small_molecule
HSPA1B,C01328,protein-small_molecule
HSPA1B,C01328,protein-small_molecule
HSPA1B,C00003,protein-small_molecule
HSPA1B,C00002,protein-small_molecule
HSPA1B,C00010,protein-small_molecule
HSPA1B,C00024,protein-small_molecule
CNKSR2_S390,CNKSR2,phosphosite-protein
CTNND2_S1072,CTNND2,phosphosite-protein
CTNND2_S1072,CTNND2,phosphosite-protein
SPAG9_S733,SPAG9,phosphosite-protein
SPAG9_S733,SPAG9,phosphosite-protein
PPP1R14A_S26,PPP1R14A,phosphosite-protein
PPP1R14A_S26,PPP1R14A,phosphosite-protein
PPP1R14A_S26,PPP1R14A,phosphosite-protein
PPP1R14A_S26,PPP1R14A,phosphosite-protein
RIMS1_S1339,RIMS1,phosphosite-protein
